076b7867-bcf5-69c5-20af-9585c2476fdb;Надфиль плоский 2828-0032;0c759c03-e3a6-2f9b-002c-10453b66ce97;Прокладка ?37х?34х1,5
7c452a4e-75a8-e3fd-20b1-0313166e2207;Контактор КН-152М;43c0d081-b1a6-ba5b-002d-19287fbc2d94;Блок 2-1-20
ca6ca4e2-c394-a3d1-20b3-31eadd16008d;Клещи;89c41381-9d7a-a0e8-002d-8c882c6ef87e;Приспособление
59cc187d-a2f8-a464-20b4-bc628ad69847;Аккумулятор НКГЦ-1,8-1;09b287f0-4aca-2d17-002d-c3ce0ab66256;Прокладка ?42/36 S=3,0
a3ee23d8-ff42-1042-20b4-dc330622c1a6;Вилка D-Sub-37, No.09 67 037 5615. Harting;62f70a72-cdb2-71df-002d-c7c5873da8f2;Прокладка
cf7fc31c-1cb2-4ca6-20b5-3824da4ec810;Зубчатый ремень из комплекта 110-233Х50;5fc1fb26-cdf2-6deb-002d-d2a999a5b64c;"Тахометр К1803 с питанием от сети переменного тока 220 В; 800-0-800 об/мин; Z=60, d=120 мм; прибор показывающий тахометра М1619, 90 грд,, шкала №1 (НА"
93726ade-5e8c-3555-20b6-99603310a23f;Ключ;bcc7c88b-793c-8525-002e-e9e374968f9d;Втулка
2c20475c-28d8-3e2c-20b6-f6fac394e103;Кольцо уплотнительное;;
06e8319a-fcc7-ac16-20b8-95e751f4ece2;Резистор С2-29-0,25-115 Ом ± 1%-1-А;;
b145470f-fce2-2324-20bb-075b2a6795d1;Приспособление для обеспечения соосности шпилек и отверстий в блоке;;
89fa1246-99a1-95ad-20bd-4549262791d7;Ключ К2РМ (5...80);;
1e3577bb-05c9-0c25-20bd-694a2deb6026;КЛЮЧ ТОРЦОВЫЙ VIII-8;;
6a22667f-73a0-7026-20bf-4c88fcbc7f29;Подшипник;;
58994c7d-49d4-9010-20bf-62a382502b83;Шайба;;
6ae4d375-ffff-ce6d-20c1-be9747df1b44;Кольцо 1-200-3012;;
be422963-02fe-ddd1-20c3-4d7d9d410e87;Узел У2-7ПИ1;;
5f2733bf-2ebb-0abb-20cc-9595aaaae115;Шайба регулировочная;;
572f511f-f46c-1e5a-20cd-249d941559b4;Шланг гибкий в металлизированной оплетке­С накидными гайками внутренней резьбой ­G1/2 L=2,0м;;
624ca370-ba43-c429-20ce-ef3459791c52;Защита двигателя 1,6-2,5 А;;
026f204e-6014-5e92-20cf-fa9dfc145fc8;Шайба дроссельная;;
018520da-f9b1-e8c7-20d1-ce921f2feb59;Обкладка;;
628904fd-b906-1872-20d2-707b50d682d6;Вилка ШТ.-32ТВ;;
dd941381-6ed9-e403-20d3-03c62e6c5ffc;Пружина;;
a1b88a95-3945-2efc-20d3-3aded06a8745;Пружина СШП-2-II-3,5х21х48х7,5;;
eb45a1cf-af1f-1772-20d5-2303dac416dc;Противопожарная система ЛОХ. Узел монтажный. Клапаны ручные;;
f572cbb2-9795-8658-20d9-7d3a9c46eca9;Щуп для замера зазоров на разобщительной муфте;;
aee99493-2d06-1106-20db-0916b37fd440;Прокладка ?12/6 S=1;;
aacd388c-9244-e9e1-20db-0c27663a906d;Трубка 14 – 3,5 – 816;;
9d2197ed-85a4-2e54-20dc-09bfe7520403;Вилка 2РМДТ39Б22Ш5В1В;;
3d7fbfab-e72c-d6a9-20e1-291758e695a5;Шайба 14.01;;
0a9aaf9e-0891-93ed-20e1-4cf914dfe472;Фланец трубный переходной приварной с шипом латунный;;
f98fa988-b048-d6f2-20e3-dda14b880208;Устройство ВУП-Е;;
ac2f60f0-5bda-a51f-20e4-ba0153dbea7e;Кольцо пружинное;;
95bc1531-b5a3-a341-20e5-e008b5f78c1c;Шуруп 1-5х40;;
64fe558f-6241-7ca8-20e8-2f18ea69f9f1;Прокладка;;
a26f0933-4be4-6683-20e9-2a206feccdba;Маховик прижима;;
7c94a44b-9d95-ee26-20ea-348f0f810e11;Прокладка 1;;
32015c1c-b74b-8a45-20ea-4e273c6f7b04;Модуль КС;;
ac616c7a-e29c-2cf2-20ea-7bd27a1f25d4;ПЕРЕКЛЮЧАТЕЛЬ ПАКЕТНЫЙ СИЛУМИНОВЫЙ ПП2-10/Н2.ОМ1.56Б;;
93e3b5ec-ffc1-fcea-20ea-dd1b6c2a7df6;Комингс;;
57d40fdb-aaee-a04f-20ec-bc0f24bf5c85;Шайба 12 65Г 02 9;;
60873e4e-6237-4afa-20ee-4cbf8ea54a64;Розетка PHU-3;;
b76c827d-ed65-d1cd-20ee-e2843c2654c5;Конденсатор К50-20-450-10;;
8ea25c63-f482-5e98-20ef-b704921e9878;Кольцо 19, 1,5;;
57c3f7d0-af9a-2fb0-20f0-091cd8d198cd;Тиристор 2Т161-160-3-32;;
