c2888a53-1ba5-b148-0042-66d42e5bfef9;Мембрана малая
eb89811c-f2e4-a7e8-0045-a07a34884a96;Прокладка
929be160-6a95-0a76-0046-c26f03a9726e;Подшипник 36206
f5cf5a52-f679-b20e-0046-f4205ae1cac3;Преобразователь однокорпусный ПО-20-400 постоянного тока исполнение 1
c8aa3f9e-4045-7420-0047-502eba95107f;Бинокуляр БНМ-М с заглушками на объективе
6c460230-bd7f-d193-0048-bcf4113e59c4;Прокладка ?48/23 S=0,2
d89b3e21-c017-513a-004b-6849b7600062;Профиль HT9BC L=693 мм
2e59f9fd-1c11-2835-004c-3f30da313159;Прокладка
fb0bb6ee-5747-8456-004e-915bf9afa93a;ЗИП к изделию СА190
a99c10bc-8f7c-ba12-004e-aa2f624b39cf;Вставка плавкая 6,3 А (NO. 70-065-65, SIBA)
5f65c2de-c8fe-b747-0050-44e9e3692521;Кольцо уплотнительное 18
25992a33-2d28-8d75-0050-9703188e72ed;Тарелка
ceb1c1cb-9df7-8fff-0053-0aedb6301017;Блок БОУПП
3b7e4415-5790-fa61-0053-463f3416cdd7;Прокладка
24ea5ebc-4701-5da9-0053-4dbe50e843a6;Гайка М16х1,5-6Н.04
50c19257-9294-9de7-0054-529ba8458aa6;Модуль М-2К.ПЖ.21
88090338-d3f3-6c79-0056-bccd2d5092a3;Жиклер 3,2
878f5da8-dcdd-ae3b-0056-bd2ac0f35c25;Ключ 7811-0323-1-Х9
746e4b30-a74a-73db-0058-982b8f38a557;Кольцо
a104971a-9240-1dad-0059-fa4626edfe58;Вставка плавкая ВПТ 6-31
3a7cb2d2-104c-f04c-005a-6d5239754c96;Запасные части в ящике ЗИП-7
70e9eb9d-80b1-ae2d-005a-791cd3b837f3;Кольцо стопорное
a562456d-1f24-865a-005c-732f763327c2;Винт М2,5-6gx8.36.013
ba61f303-fb34-887a-005c-baf3ad4eb433;Трекболл оптический
917a8ccc-4629-6f33-0061-b1944b5eb401;Вставка питания LNB
5bff89e2-b192-4397-0062-bc4eb7d0a4a2;Стойка
c13b3016-6b84-e110-0063-ac27b6eabad3;Прокладка
79b4517b-148a-ac00-0063-b5221b0095ca;Прокладка электроизолирующая
2f8c1170-d81a-e3b4-0064-e6262a393c64;Ключ торцовый
0da5a08a-3ef2-89e2-0068-8bb5fadede0f;Модуль ЦОС
c3811338-b95e-a9a1-0069-186d4372ba3c;Резистор С2-33-0,25-1,8 кОм ± 5% А-Г-В
2ce8d1e2-2dac-bc0d-006a-8d6d81eb4e78;Контакт подвижный
1637d0fa-c414-f814-006b-40dc7c5ed29a;Пружина
0d28e930-2bb4-0ab7-006d-e651982e8697;Вентиль коаксиальный
19814eda-0ad7-6d07-006f-76a4079f679c;Вольтметр Ц1420, 0-450 В, 380 В/127 В
a2cec614-fc93-c46e-006f-bef0a7f2dcb9;Кольцо уплотнительное
e3066b66-f823-d53c-0070-0bb165815478;Фиксатор
226e2310-40b7-7936-0070-33ea6027efea;Прокладка ?25/17 S=2
5de1f46c-1343-f31e-0071-74f30aab8d87;Электровентилятор РСС 8/25-1,2.9 КВ
be7c7dad-6cfc-2b8b-0072-feb52fed1ab0;Тарелка
9b0ce219-b486-8d2e-0074-1c45bd6454e1;Буфер
026bcd16-5c59-69c4-0074-4bce82853548;Подшипник 76-310К
434fba6a-73fc-9f4d-0074-aba90c5cc819;Шайба-замок
a35141cb-7739-c6c3-0074-c28b0c04e8f3;Подпятник
40c22aa3-0afb-23d0-0075-1ef01b28e848;Планка отличительная
46540cbe-086a-cb11-0075-6a3ae2791bf3;Модуль ПУС
ac34ed68-c311-6252-0079-567e18fa502f;Модуль М-2К3.УБПИ-МИ-27-20
a41fd7c7-5a27-035b-007d-0b6f8bfdb028;Перемычка
0571f10d-c8f5-7adb-007d-2ed6dfb35384;Прокладка квадрат 88х88 S=2 с отверстием ?вн72 паронит ПМБ
1e31ebf2-4989-3288-007d-cb3449a904ab;Комплект отжимных винтов
89129829-bb8f-e890-007e-0f5ac8643f58;Кольцо
c0298003-6371-3427-007f-fd6c6074412f;Циркулятор
f29927d9-b688-3b9b-0080-2ac939e20efb;Пакет дроссельный 43НКТН 400-440
102115e5-f4e4-7fdb-0080-78d3b98b1b42;Модуль РДС-2
1530a248-5e45-ae18-0080-9e983665f929;Элемент кнопочный КУ-100В
